date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2023-08-21,772.0,790.0,772.0,779.0,-0.13,26580.0,20708405.0,2023,39.65,19.8,17.58,30.53
2023-08-22,778.5,787.0,777.1,782.0,0.39,11727.0,9157323.3,2023,39.65,19.8,17.58,30.53
2023-08-23,780.1,805.8,780.0,800.0,2.3,48779.0,38794288.5,2023,39.65,19.8,17.58,30.53
2023-08-24,800.0,807.1,794.0,794.5,-0.69,64412.0,51581791.7,2023,39.65,19.8,17.58,30.53
2023-08-27,789.0,794.0,782.5,790.0,-0.57,22697.0,17912807.9,2023,39.65,19.8,17.58,30.53
2023-08-28,805.0,805.0,788.0,789.0,-0.13,23084.0,18245309.9,2023,39.65,19.8,17.58,30.53
2023-08-29,790.0,795.9,786.0,787.5,-0.19,18161.0,14329578.7,2023,39.65,19.8,17.58,30.53
2023-08-30,792.0,799.0,787.2,788.1,0.08,33034.0,26070853.2,2023,39.65,19.8,17.58,30.53
2023-09-03,788.0,790.0,781.5,783.0,-0.65,23300.0,18276510.6,2023,39.65,19.8,17.58,30.53
2023-09-04,783.1,787.2,775.0,783.0,0.0,34063.0,26480999.3,2023,39.65,19.8,17.58,30.53
2023-09-05,785.0,785.0,778.0,778.8,-0.54,14746.0,11498146.9,2023,39.65,19.8,17.58,30.53
2023-09-07,779.0,779.0,773.1,775.0,-0.49,29986.0,23246769.9,2023,39.65,19.8,17.58,30.53
2023-09-10,780.0,790.0,775.0,780.0,0.65,27417.0,21349718.3,2023,39.65,19.8,17.58,30.53
2023-09-11,780.0,805.0,778.0,798.1,2.32,49803.0,39696687.3,2023,39.65,19.8,17.58,30.53
2023-09-12,800.0,804.0,792.0,792.5,-0.7,22370.0,17822263.0,2023,39.65,19.8,17.58,30.53
